Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
Marathahalli,1482,3,2,5,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",8830000.0,5958.16,Modern (4-10 yrs),4.02
Rajajinagar,2543,4,4,8,Semi-Furnished,"Clubhouse, Gym, Landscaped Garden, Power Backup",27980000.0,11002.75,Modern (4-10 yrs),3.48
Whitefield,901,2,2,3,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Tennis Court",5070000.0,5627.08,New (0-3 yrs),4.64
Electronic City,2740,4,4,4,Furnished,"24/7 Security, Children's Play Area, Jogging Track, Tennis Court",12220000.0,4459.85,Modern (4-10 yrs),3.12
Whitefield,1512,3,3,3,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Power Backup",9010000.0,5958.99,New (0-3 yrs),4.11
Hebbal,520,1,1,8,Unfurnished,"24/7 Security, Covered Parking, Intercom, Jogging Track, Swimming Pool, Tennis Court",4220000.0,8115.38,Modern (4-10 yrs),5.0
Electronic City,1022,2,2,2,Semi-Furnished,"24/7 Security, Children's Play Area, Intercom, Power Backup",5090000.0,4980.43,New (0-3 yrs),2.5
Thanisandra,696,1,1,6,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Intercom, Tennis Court",3940000.0,5660.92,Modern (4-10 yrs),3.93
Koramangala,1356,3,2,11,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Power Backup",12560000.0,9262.54,Established (11-20 yrs),3.12
Electronic City,904,2,2,2,Furnished,"24/7 Security, Covered Parking, Jogging Track, Power Backup, Swimming Pool",4710000.0,5210.18,New (0-3 yrs),4.02
Whitefield,616,1,1,10,Semi-Furnished,"Clubhouse, Intercom, Power Backup, Swimming Pool",3480000.0,5649.35,Modern (4-10 yrs),3.57
HSR Layout,1577,3,2,0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Landscaped Garden",16460000.0,10437.54,New (0-3 yrs),3.12
Jayanagar,867,2,2,1,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Intercom, Landscaped Garden, Tennis Court",7900000.0,9111.88,New (0-3 yrs),5.18
Hebbal,1904,3,3,20,Furnished,"Covered Parking, Gym, High-Speed Elevators, Jogging Track, Swimming Pool",14240000.0,7478.99,Established (11-20 yrs),4.38
Marathahalli,2164,4,3,0,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Landscaped Garden, Power Backup",15710000.0,7259.7,New (0-3 yrs),3.75
Thanisandra,3084,4,4,5,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators",21110000.0,6845.01,Modern (4-10 yrs),2.5
Koramangala,1834,3,2,3,Semi-Furnished,"24/7 Security, Jogging Track, Tennis Court",21710000.0,11837.51,New (0-3 yrs),2.5
Whitefield,1044,2,2,5,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators",6120000.0,5862.07,Modern (4-10 yrs),2.23
Koramangala,1171,2,2,8,Unfurnished,"Clubhouse, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",11540000.0,9854.82,Modern (4-10 yrs),4.46
Bellandur,1831,3,3,0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",15970000.0,8722.01,New (0-3 yrs),6.43
Rajajinagar,738,1,1,20,Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden",6930000.0,9390.24,Established (11-20 yrs),2.41
Marathahalli,1919,3,3,3,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool",13570000.0,7071.39,New (0-3 yrs),6.52
Rajajinagar,1083,2,2,4,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Intercom, Jogging Track, Tennis Court",11780000.0,10877.19,Modern (4-10 yrs),4.64
Bellandur,1300,3,3,1,Semi-Furnished,"Covered Parking, High-Speed Elevators, Swimming Pool",10780000.0,8292.31,New (0-3 yrs),2.95
Whitefield,3031,4,4,4,Unfurnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden",18500000.0,6103.6,Modern (4-10 yrs),2.86
Whitefield,1088,2,2,6,Furnished,"Intercom, Power Backup",7250000.0,6663.6,Modern (4-10 yrs),1.16
Banashankari,1524,3,3,2,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, Swimming Pool",8530000.0,5597.11,New (0-3 yrs),3.39
Indiranagar,1010,2,1,12,Furnished,"Children's Play Area, Clubhouse, Power Backup",11420000.0,11306.93,Established (11-20 yrs),2.41
Indiranagar,2100,4,4,4,Unfurnished,"Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",24940000.0,11876.19,Modern (4-10 yrs),3.48
Thanisandra,1702,3,3,2,Unfurnished,"Children's Play Area, Covered Parking, Power Backup",9610000.0,5646.3,New (0-3 yrs),2.05
Bellandur,550,1,1,2,Furnished,"Gym, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",3670000.0,6672.73,New (0-3 yrs),4.02
Indiranagar,1858,3,2,0,Furnished,"Clubhouse, High-Speed Elevators, Intercom, Power Backup, Swimming Pool",27750000.0,14935.41,New (0-3 yrs),4.46
Jayanagar,1337,3,3,3,Unfurnished,"Power Backup, Swimming Pool, Tennis Court",17160000.0,12834.7,New (0-3 yrs),3.3
HSR Layout,715,1,1,0,Semi-Furnished,"Children's Play Area, Gym, Landscaped Garden, Power Backup, Tennis Court",6350000.0,8881.12,New (0-3 yrs),4.29
Thanisandra,1142,2,2,0,Semi-Furnished,"Covered Parking, Swimming Pool",7840000.0,6865.15,New (0-3 yrs),2.05
Whitefield,1007,2,2,6,Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup, Swimming Pool",6530000.0,6484.61,Modern (4-10 yrs),5.98
Hebbal,1666,3,3,0,Semi-Furnished,"Covered Parking, Jogging Track, Tennis Court",15320000.0,9195.68,New (0-3 yrs),2.5
Hebbal,1659,3,2,9,Semi-Furnished,"Covered Parking, Gym",14260000.0,8595.54,Modern (4-10 yrs),1.61
Indiranagar,1401,3,2,2,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Power Backup",15330000.0,10942.18,New (0-3 yrs),3.84
Sarjapur Road,572,1,1,4,Furnished,"24/7 Security, Children's Play Area, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",3930000.0,6870.63,Modern (4-10 yrs),5.98
Sarjapur Road,1026,2,2,6,Furnished,"Children's Play Area, Clubhouse, Gym, Intercom, Landscaped Garden",7660000.0,7465.89,Modern (4-10 yrs),3.84
Yelahanka,991,2,2,11,Unfurnished,"Children's Play Area, Covered Parking, Gym",5190000.0,5237.13,Established (11-20 yrs),2.23
Koramangala,2688,4,4,17,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",34160000.0,12708.33,Established (11-20 yrs),6.52
Sarjapur Road,1086,2,2,4,Furnished,"24/7 Security, Clubhouse, Intercom, Jogging Track, Landscaped Garden, Power Backup",8670000.0,7983.43,Modern (4-10 yrs),4.29
Hebbal,1249,2,2,9,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Power Backup, Swimming Pool",10710000.0,8574.86,Modern (4-10 yrs),3.93
Hebbal,685,1,1,7,Unfurnished,"Jogging Track, Landscaped Garden",4580000.0,6686.13,Modern (4-10 yrs),1.34
Marathahalli,462,1,1,1,Semi-Furnished,"Gym, High-Speed Elevators, Power Backup, Tennis Court",2610000.0,5649.35,New (0-3 yrs),3.75
Electronic City,1153,2,2,2,Semi-Furnished,"Intercom, Jogging Track, Landscaped Garden",6350000.0,5507.37,New (0-3 yrs),1.79
Indiranagar,1959,3,2,1,Semi-Furnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",22600000.0,11536.5,New (0-3 yrs),5.27
Malleshwaram,530,1,1,1,Furnished,"Children's Play Area, Covered Parking",5240000.0,9886.79,New (0-3 yrs),1.34
Electronic City,998,2,2,5,Furnished,"Jogging Track, Landscaped Garden, Swimming Pool",4700000.0,4709.42,Modern (4-10 yrs),2.68
Jayanagar,2497,4,4,14,Semi-Furnished,"Covered Parking, Jogging Track, Swimming Pool",24410000.0,9775.73,Established (11-20 yrs),2.59
Whitefield,1325,2,2,6,Furnished,"Covered Parking, Jogging Track, Tennis Court",7740000.0,5841.51,Modern (4-10 yrs),2.5
Electronic City,800,2,2,0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Swimming Pool",3990000.0,4987.5,New (0-3 yrs),3.84
Electronic City,1966,3,3,1,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Intercom, Swimming Pool",9790000.0,4979.65,New (0-3 yrs),4.2
Banashankari,1356,2,2,4,Semi-Furnished,"Children's Play Area, Jogging Track",8750000.0,6452.8,Modern (4-10 yrs),1.16
Whitefield,1741,3,3,10,Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Power Backup, Tennis Court",10140000.0,5824.24,Modern (4-10 yrs),5.09
HSR Layout,1094,2,2,9,Furnished,"Intercom, Jogging Track, Landscaped Garden, Tennis Court",9390000.0,8583.18,Modern (4-10 yrs),3.04
Bellandur,2964,4,3,3,Unfurnished,"Gym, Landscaped Garden, Power Backup",22490000.0,7587.72,New (0-3 yrs),2.41
Marathahalli,1051,2,2,14,Semi-Furnished,"High-Speed Elevators, Landscaped Garden, Power Backup, Tennis Court",6100000.0,5804.0,Established (11-20 yrs),3.66
Jayanagar,800,2,1,1,Semi-Furnished,"Children's Play Area, Jogging Track, Tennis Court",9780000.0,12225.0,New (0-3 yrs),2.41
Electronic City,1085,2,2,5,Semi-Furnished,"Children's Play Area, Covered Parking, Power Backup",5380000.0,4958.53,Modern (4-10 yrs),2.05
Marathahalli,1868,3,3,11,Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",11270000.0,6033.19,Established (11-20 yrs),5.18
Whitefield,957,2,2,3,Furnished,"Clubhouse, High-Speed Elevators, Tennis Court",5280000.0,5517.24,New (0-3 yrs),3.21
Sarjapur Road,1105,2,2,3,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Jogging Track, Power Backup, Tennis Court",8260000.0,7475.11,New (0-3 yrs),5.45
Koramangala,893,2,2,12,Semi-Furnished,"Clubhouse, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",9080000.0,10167.97,Established (11-20 yrs),5.0
Jayanagar,931,2,2,8,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track",11750000.0,12620.84,Modern (4-10 yrs),3.57
HSR Layout,1105,2,2,1,Semi-Furnished,"Covered Parking, Intercom, Landscaped Garden, Swimming Pool",11710000.0,10597.29,New (0-3 yrs),3.3
Marathahalli,860,2,2,1,Furnished,"Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup",7560000.0,8790.7,New (0-3 yrs),4.29
Thanisandra,911,2,2,2,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",5670000.0,6223.93,New (0-3 yrs),4.64
Sarjapur Road,1409,3,3,3,Semi-Furnished,"24/7 Security, Children's Play Area, Intercom, Swimming Pool",10200000.0,7239.18,New (0-3 yrs),3.12
Whitefield,1527,3,3,1,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Intercom, Swimming Pool, Tennis Court",8620000.0,5645.06,New (0-3 yrs),5.71
Yelahanka,1450,2,1,7,Semi-Furnished,"24/7 Security, Swimming Pool",7010000.0,4834.48,Modern (4-10 yrs),2.05
Electronic City,650,1,1,2,Unfurnished,"24/7 Security, Clubhouse, Gym, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",2980000.0,4584.62,New (0-3 yrs),6.61
Yelahanka,1057,2,2,2,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",6130000.0,5799.43,New (0-3 yrs),2.41
Malleshwaram,1097,2,2,1,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Power Backup, Swimming Pool",11480000.0,10464.9,New (0-3 yrs),4.55
Bellandur,601,1,1,12,Furnished,"Clubhouse, Intercom, Landscaped Garden, Tennis Court",4250000.0,7071.55,Established (11-20 yrs),3.57
HSR Layout,1111,2,2,5,Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden, Power Backup",10600000.0,9540.95,Modern (4-10 yrs),3.12
Electronic City,1654,3,3,1,Semi-Furnished,"24/7 Security, Clubhouse, Intercom, Power Backup",7590000.0,4588.88,New (0-3 yrs),2.95
Hebbal,1596,3,2,6,Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Power Backup",14140000.0,8859.65,Modern (4-10 yrs),2.77
Bellandur,1496,3,3,13,Semi-Furnished,"24/7 Security, Power Backup",10020000.0,6697.86,Established (11-20 yrs),1.43
Hebbal,697,1,1,14,Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Tennis Court",5630000.0,8077.47,Established (11-20 yrs),3.3
Bellandur,1694,3,3,3,Furnished,"Covered Parking, Jogging Track, Swimming Pool, Tennis Court",14050000.0,8293.98,New (0-3 yrs),3.84
Hebbal,4973,5,4,5,Unfurnished,"24/7 Security, Children's Play Area, Jogging Track, Landscaped Garden",43800000.0,8807.56,Modern (4-10 yrs),2.68
Sarjapur Road,749,1,1,5,Furnished,"24/7 Security, Covered Parking, Jogging Track, Swimming Pool",5050000.0,6742.32,Modern (4-10 yrs),3.3
Electronic City,3866,5,5,2,Furnished,"Clubhouse, Gym, Jogging Track, Landscaped Garden, Tennis Court",23560000.0,6094.15,New (0-3 yrs),4.55
Bellandur,1451,3,3,1,Furnished,"Covered Parking, Gym, High-Speed Elevators, Intercom",14420000.0,9937.97,New (0-3 yrs),2.95
Electronic City,710,1,1,8,Semi-Furnished,"Children's Play Area, Landscaped Garden, Power Backup, Tennis Court",3070000.0,4323.94,Modern (4-10 yrs),3.39
Sarjapur Road,1300,3,3,7,Unfurnished,"Landscaped Garden, Tennis Court",8480000.0,6523.08,Modern (4-10 yrs),2.05
Koramangala,1132,2,2,8,Furnished,"24/7 Security, Clubhouse, Jogging Track",11220000.0,9911.66,Modern (4-10 yrs),2.32
Bellandur,1550,3,3,8,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",11600000.0,7483.87,Modern (4-10 yrs),7.14
Bellandur,1987,3,3,6,Unfurnished,"Gym, Intercom, Jogging Track, Tennis Court",14540000.0,7317.56,Modern (4-10 yrs),3.12
Marathahalli,1161,2,2,15,Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden, Tennis Court",7450000.0,6416.88,Established (11-20 yrs),3.66
Rajajinagar,1635,3,3,7,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Landscaped Garden, Power Backup, Swimming Pool",16230000.0,9926.61,Modern (4-10 yrs),5.8
Whitefield,598,1,1,14,Furnished,"24/7 Security, High-Speed Elevators",3050000.0,5100.33,Established (11-20 yrs),1.61
HSR Layout,1233,2,2,1,Semi-Furnished,"Clubhouse, Gym, Intercom",10040000.0,8142.74,New (0-3 yrs),2.41
Marathahalli,1080,2,2,7,Unfurnished,"Gym, Power Backup",6160000.0,5703.7,Modern (4-10 yrs),1.61
Thanisandra,548,1,1,1,Semi-Furnished,"High-Speed Elevators, Intercom, Power Backup, Swimming Pool",3120000.0,5693.43,New (0-3 yrs),3.39
Malleshwaram,613,1,1,8,Furnished,"Clubhouse, Intercom, Power Backup",5750000.0,9380.1,Modern (4-10 yrs),2.23
Sarjapur Road,1686,3,3,8,Furnished,"Clubhouse, Gym, Landscaped Garden, Power Backup, Swimming Pool",11740000.0,6963.23,Modern (4-10 yrs),4.82
Hebbal,1087,2,1,7,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",8290000.0,7626.49,Modern (4-10 yrs),4.2
Whitefield,992,2,2,6,Semi-Furnished,"Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Tennis Court",5810000.0,5856.85,Modern (4-10 yrs),4.55
Koramangala,953,2,2,5,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Power Backup, Tennis Court",11590000.0,12161.59,Modern (4-10 yrs),4.02
Banashankari,2756,4,4,13,Unfurnished,"24/7 Security, Intercom, Power Backup",19440000.0,7053.7,Established (11-20 yrs),1.88
HSR Layout,2521,4,4,1,Furnished,"Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",27830000.0,11039.27,New (0-3 yrs),4.46
Banashankari,1083,2,2,16,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Power Backup, Tennis Court",6250000.0,5771.01,Established (11-20 yrs),5.09
Bellandur,1547,3,3,8,Furnished,"Clubhouse, Gym, Landscaped Garden",11950000.0,7724.63,Modern (4-10 yrs),2.77
Electronic City,1149,2,1,4,Semi-Furnished,"Children's Play Area, Clubhouse, Power Backup, Tennis Court",5800000.0,5047.87,Modern (4-10 yrs),3.66
Indiranagar,1888,3,3,1,Unfurnished,"Gym, Tennis Court",25450000.0,13479.87,New (0-3 yrs),2.14
Sarjapur Road,620,1,1,0,Semi-Furnished,"Covered Parking, Intercom, Swimming Pool, Tennis Court",4080000.0,6580.65,New (0-3 yrs),3.75
HSR Layout,1189,2,2,0,Furnished,"Clubhouse, Intercom, Swimming Pool, Tennis Court",11660000.0,9806.56,New (0-3 yrs),4.11
Marathahalli,1941,3,2,2,Semi-Furnished,"Children's Play Area, Gym, Jogging Track",13340000.0,6872.75,New (0-3 yrs),2.05
Whitefield,1553,3,3,8,Furnished,"Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",8600000.0,5537.67,Modern (4-10 yrs),3.48
Koramangala,1179,2,2,3,Semi-Furnished,"Gym, High-Speed Elevators, Power Backup, Swimming Pool",12780000.0,10839.69,New (0-3 yrs),3.84
Indiranagar,1180,2,2,6,Unfurnished,"High-Speed Elevators, Landscaped Garden",12230000.0,10364.41,Modern (4-10 yrs),1.7
Marathahalli,1300,3,3,9,Unfurnished,"Clubhouse, Covered Parking, Gym, Landscaped Garden, Power Backup",8770000.0,6746.15,Modern (4-10 yrs),4.2
Indiranagar,1081,2,1,0,Semi-Furnished,"24/7 Security, Intercom, Swimming Pool",13440000.0,12432.93,New (0-3 yrs),2.5
Bellandur,919,2,2,5,Furnished,"Children's Play Area, Clubhouse, Jogging Track, Swimming Pool",7010000.0,7627.86,Modern (4-10 yrs),3.57
Marathahalli,1300,3,3,1,Unfurnished,"High-Speed Elevators, Power Backup",8270000.0,6361.54,New (0-3 yrs),1.61
Indiranagar,600,1,1,2,Semi-Furnished,"24/7 Security, Jogging Track",7710000.0,12850.0,New (0-3 yrs),1.25
Indiranagar,1002,2,2,4,Unfurnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",11430000.0,11407.19,Modern (4-10 yrs),4.82
Banashankari,2290,4,3,2,Semi-Furnished,"Intercom, Landscaped Garden, Swimming Pool",16390000.0,7157.21,New (0-3 yrs),2.59
Malleshwaram,1545,3,3,10,Unfurnished,"Clubhouse, Covered Parking, Gym, Jogging Track, Power Backup, Swimming Pool, Tennis Court",15600000.0,10097.09,Modern (4-10 yrs),6.52
Sarjapur Road,1864,3,3,14,Unfurnished,"Children's Play Area, Gym, Power Backup, Swimming Pool",10910000.0,5853.0,Established (11-20 yrs),3.57
Jayanagar,1778,3,3,3,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom, Landscaped Garden, Power Backup",18480000.0,10393.7,New (0-3 yrs),4.02
HSR Layout,1709,3,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden",14750000.0,8630.78,New (0-3 yrs),3.21
Marathahalli,1311,3,2,15,Semi-Furnished,"Gym, Jogging Track, Swimming Pool, Tennis Court",8240000.0,6285.28,Established (11-20 yrs),4.02
Electronic City,1772,3,2,17,Semi-Furnished,"Clubhouse, Swimming Pool",7970000.0,4497.74,Established (11-20 yrs),2.41
Electronic City,933,2,2,6,Furnished,"High-Speed Elevators, Jogging Track, Tennis Court",4260000.0,4565.92,Modern (4-10 yrs),2.68
Hebbal,1121,2,2,2,Semi-Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Tennis Court",10270000.0,9161.46,New (0-3 yrs),3.66
Bellandur,1368,3,3,5,Semi-Furnished,"Gym, Power Backup",10250000.0,7492.69,Modern (4-10 yrs),1.61
Electronic City,573,1,1,8,Furnished,"Landscaped Garden, Tennis Court",2660000.0,4642.23,Modern (4-10 yrs),2.05
Electronic City,1067,2,2,3,Semi-Furnished,"Landscaped Garden, Tennis Court",5740000.0,5379.57,New (0-3 yrs),2.05
Rajajinagar,1285,2,2,4,Unfurnished,"24/7 Security, High-Speed Elevators, Intercom, Power Backup, Tennis Court",12510000.0,9735.41,Modern (4-10 yrs),4.02
Sarjapur Road,580,1,1,5,Semi-Furnished,"Covered Parking, Landscaped Garden, Swimming Pool",3580000.0,6172.41,Modern (4-10 yrs),2.86
Malleshwaram,1681,3,3,5,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",19950000.0,11867.94,Modern (4-10 yrs),6.88
Sarjapur Road,2049,3,2,1,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Jogging Track, Tennis Court",13800000.0,6734.99,New (0-3 yrs),5.09
Indiranagar,916,2,2,1,Semi-Furnished,"Covered Parking, Jogging Track, Power Backup, Swimming Pool",13200000.0,14410.48,New (0-3 yrs),3.3
Koramangala,2806,4,4,13,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",38900000.0,13863.15,Established (11-20 yrs),4.11
Bellandur,1508,3,3,1,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators",14310000.0,9489.39,New (0-3 yrs),2.95
Whitefield,617,1,1,3,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Jogging Track, Power Backup, Tennis Court",2930000.0,4748.78,New (0-3 yrs),4.38
Koramangala,1014,2,2,0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Intercom",11040000.0,10887.57,New (0-3 yrs),2.95
Electronic City,991,2,2,8,Semi-Furnished,"24/7 Security, Children's Play Area, Intercom",3950000.0,3985.87,Modern (4-10 yrs),1.79
Electronic City,1678,3,3,2,Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",8650000.0,5154.95,New (0-3 yrs),4.2
Hebbal,800,2,2,5,Semi-Furnished,"Children's Play Area, Covered Parking, Landscaped Garden, Swimming Pool",6710000.0,8387.5,Modern (4-10 yrs),3.48
Hebbal,1086,2,2,5,Unfurnished,"High-Speed Elevators, Intercom, Tennis Court",9060000.0,8342.54,Modern (4-10 yrs),2.59
Banashankari,2855,4,4,14,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom",22880000.0,8014.01,Established (11-20 yrs),3.12
Malleshwaram,1879,3,3,10,Semi-Furnished,"Children's Play Area, Intercom, Landscaped Garden",17740000.0,9441.19,Modern (4-10 yrs),1.88
Thanisandra,2599,4,4,20,Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Swimming Pool, Tennis Court",14660000.0,5640.63,Established (11-20 yrs),5.27
Marathahalli,1506,3,2,12,Unfurnished,"Gym, High-Speed Elevators, Power Backup, Swimming Pool, Tennis Court",9800000.0,6507.3,Established (11-20 yrs),5.09
Malleshwaram,1683,3,3,5,Furnished,"Jogging Track, Swimming Pool, Tennis Court",19550000.0,11616.16,Modern (4-10 yrs),3.12
Marathahalli,1579,3,3,12,Semi-Furnished,"Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden",10180000.0,6447.12,Established (11-20 yrs),3.21
Yelahanka,1048,2,2,0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Tennis Court",6980000.0,6660.31,New (0-3 yrs),3.75
HSR Layout,1228,2,2,7,Unfurnished,"24/7 Security, Intercom, Jogging Track, Power Backup",11230000.0,9144.95,Modern (4-10 yrs),2.41
Bellandur,1184,2,2,0,Furnished,"Clubhouse, Covered Parking, Gym, High-Speed Elevators",10670000.0,9011.82,New (0-3 yrs),3.57
Marathahalli,1133,2,2,6,Semi-Furnished,"Children's Play Area, Intercom",6680000.0,5895.85,Modern (4-10 yrs),1.07
Whitefield,1426,3,3,3,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym",8760000.0,6143.06,New (0-3 yrs),3.3
Banashankari,3501,5,4,9,Semi-Furnished,"Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",29460000.0,8414.74,Modern (4-10 yrs),3.93
Sarjapur Road,2757,4,4,2,Unfurnished,"Children's Play Area, Clubhouse, Landscaped Garden",18010000.0,6532.46,New (0-3 yrs),2.5
Sarjapur Road,1103,2,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Jogging Track, Tennis Court",6770000.0,6137.81,New (0-3 yrs),4.02
HSR Layout,1246,2,2,3,Furnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators",11260000.0,9036.92,New (0-3 yrs),3.12
Electronic City,1091,2,2,17,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",5180000.0,4747.94,Established (11-20 yrs),7.59
HSR Layout,1153,2,2,1,Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Intercom",11630000.0,10086.73,New (0-3 yrs),2.77
Hebbal,920,2,2,0,Unfurnished,"Gym, High-Speed Elevators, Tennis Court",6630000.0,7206.52,New (0-3 yrs),3.04
Whitefield,1425,3,3,0,Unfurnished,"Gym, High-Speed Elevators, Tennis Court",7830000.0,5494.74,New (0-3 yrs),3.04
Malleshwaram,4269,5,5,0,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Intercom, Jogging Track, Landscaped Garden",56000000.0,13117.83,New (0-3 yrs),4.2
Electronic City,2644,4,4,12,Unfurnished,"24/7 Security, Children's Play Area, Intercom, Landscaped Garden",11150000.0,4217.1,Established (11-20 yrs),2.59
Electronic City,1024,2,2,2,Unfurnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Tennis Court",4680000.0,4570.31,New (0-3 yrs),3.48
Marathahalli,1355,3,3,6,Unfurnished,"Covered Parking, Jogging Track, Landscaped Garden, Power Backup",8030000.0,5926.2,Modern (4-10 yrs),2.77
Electronic City,1773,3,2,1,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators",10100000.0,5696.56,New (0-3 yrs),2.32
Whitefield,1641,3,3,1,Furnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Intercom, Swimming Pool",10350000.0,6307.13,New (0-3 yrs),4.02
Malleshwaram,2836,4,4,2,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, Intercom",32920000.0,11607.9,New (0-3 yrs),3.04
Electronic City,1566,3,2,3,Unfurnished,"Intercom, Landscaped Garden",7540000.0,4814.81,New (0-3 yrs),1.25
Yelahanka,1083,2,2,3,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Jogging Track, Power Backup, Tennis Court",7930000.0,7322.25,New (0-3 yrs),4.82
Thanisandra,1509,3,2,0,Semi-Furnished,"24/7 Security, Clubhouse, Intercom, Jogging Track, Swimming Pool",10050000.0,6660.04,New (0-3 yrs),4.11
